Name,Age,City,History,Economics,Maths,Physics,English,Geography
A,18,London,71.5,69.2,87,,80,59.6
B,20,Paris,61,73.5,58,68,83,75.5
C,21,Belfast,46,59,65,81.5,72.6,68.2
D,19,Mumbai,39.5,80.2,50,65.1,65.5,73.5
E,21,Shenzhen,65,71.5,87,72.2,46.5,65
F,17,Berlin,75.5,77,85,58.1,68.5,72.5
G,21,Montreal,79,54.5,81.5,77,67.5,65
H,19,Glasgow,81,79,63,76,72.1,70.5
I,21,Berlin,78,53.5,76.5,82.5,72.5,70.6
J,17,Montreal,78,80.5,61.5,81.5,81.6,79.1
K,21,Belfast,82.5,75,72,65.7,68,74
L,19,Mumbai,67.2,76.7,64.5,58,84.5,76.2
M,21,Shenzhen,76,67,79.5,52,84.5,68.5
N,17,London,80.5,79,74.5,,63,76
O,19,Glasgow,74,65,50,52,64,64
U,20,Berlin,63,76,72.1,,80.2,
